country,purchasing_power_parity,foreign_exchangegold,defense_budget,external_debt,square_land_area,coastline_coverage,shared_borders,waterways_usable,total_population,available_manpower,fitforservice,reaching_mil_age_annually,active_personnel,reserve_personnel,paramilitary,air_force_personnel,army_personnel,navy_personnel,yearly_mobilization_potential,aircraft_total,fighters,attack_types,transports_fixedwing,trainers,specialmission,tanker_fleet,helicopters,attack_helicopters,tanks,vehicles,selfpropelled_artillery,towed_artillery,mlrs_rocket_artillery,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessels,mine_warfare,oil_production,oil_consumption,oil_deficit,oil_proven_reserves,natural_gas_production,natural_gas_consumption,natural_gas_deficit,natgas_proven_rez,coal_production,coal_consumption,coal_deficit,coal_proven_reserves,internet_coverage,labor_force,merchant_marine_fleet,ports__trade_terminals,airports,roadway_coverage,railway_coverage,pwr_index
Zambia,"$79,207,000,000 USD","$3,017,000,000 USD","$385,321,000 USD","$16,597,000,000 USD","752,618 km",LANDLOCKED,"6,043 km",0 km,"20,799,116","7,279,691","4,139,024","374,384","15,150",0,"1,200","3,745","13,250",0,"369,658","Stock: 78			
Readiness: 39*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 13 (16.7%)

Readiness: 7*","Stock: 34 (43.6%)

Readiness: 17*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 33 (42.3%)

Readiness: 17*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 75				
Readiness: 41*","Stock: 848            	
Readiness: 466*","Stock: 12				
Readiness: 7*","Stock: 60				
Readiness: 33*","Stock: 50				
Readiness: 28*",,,,,,,,,0 bbl,"34,000 bbl","-34,000 bbl",0 bbl,0 cu.m,0 cu.m,0 cu.m,0 cu.m,"2,091,000 mt","2,081,000 mt","+10,000 mt","945,000,000 mt",33.0%,"7,407,000",2,0,120,"67,671 km","3,126 km",2.4461
Ghana,"$243,124,000,000 USD","$3,624,000,000 USD","$954,423,756 USD","$29,241,000,000 USD","238,533 km",539 km,"2,420 km","1,293 km","34,589,092","14,873,310","9,961,658","622,604","15,500",0,0,"1,860","55,000","1,200","614,744","Stock: 18			
Readiness: 10*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (11.1%)

Readiness: 1*","Stock: 5 (27.8%)

Readiness: 3*","Stock: 2 (11.1%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 9 (50.0%)

Readiness: 5*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 3,648            	
Readiness: 2,189*","Stock: 0				
Readiness: 0*","Stock: 6				
Readiness: 4*","Stock: 6				
Readiness: 4*",0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,"176,000 bbl","96,000 bbl","+80,000 bbl","660,000,000 bbl","3,192,000,000 cu.m","3,912,000,000 cu.m","-720,000,000 cu.m","22,653,000,000 cu.m",0 mt,"51,000 mt","-51,000 mt",0 mt,70.0%,"13,927,000",52,4,11,"65,725 km",947 km,2.4566
South Sudan,"$6,752,000,000 USD","$128,248,000 USD","$30,700,000 USD","$2,722,500,000 USD","644,329 km",LANDLOCKED,"6,018 km",0 km,"12,703,714","6,351,857","4,065,188","330,297","185,000",0,0,230,"184,120",325,"326,127","Stock: 19			
Readiness: 9*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 4 (21.1%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 15 (78.9%)

Readiness: 7*","Stock: 6 (31.6%)

Readiness: 3*","Stock: 122				
Readiness: 67*","Stock: 2,550            	
Readiness: 1,403*","Stock: 24				
Readiness: 13*","Stock: 0				
Readiness: 0*","Stock: 15				
Readiness: 8*",,,,,,,,,"146,000 bbl","11,000 bbl","+135,000 bbl","3,750,000,000 bbl",0 cu.m,0 cu.m,0 cu.m,0 cu.m,0 mt,0 mt,0 mt,0 mt,9.0%,"5,091,000",0,0,89,"90,200 km",248 km,2.4645
North Macedonia,"$43,844,000,000 USD","$5,252,000,000 USD","$421,527,100 USD","$5,637,000,000 USD","25,713 km",LANDLOCKED,838 km,0 km,"2,135,622","948,216","783,773","27,763","10,010","60,000","3,500",950,"70,011",0,"27,413","Stock: 20			
Readiness: 11*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 10 (50.0%)

Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 10 (50.0%)

Readiness: 6*","Stock: 4 (20.0%)

Readiness: 2*","Stock: 0				
Readiness: 0*","Stock: 1,878            	
Readiness: 1,033*","Stock: 0				
Readiness: 0*","Stock: 156				
Readiness: 86*","Stock: 18				
Readiness: 10*",,,,,,,,,0 bbl,"24,000 bbl","-24,000 bbl",0 bbl,0 cu.m,"274,928,000 cu.m","-274,928,000 cu.m",0 cu.m,"4,000,000 mt","5,344,000 mt","-1,344,000 mt","332,000,000 mt",87.0%,"779,200",0,0,13,"15,170 km",699 km,2.4956
Dominican Republic,"$276,884,000,000 USD","$13,471,000,000 USD","$903,000,000 USD","$35,044,000,000 USD","48,320 km","1,288 km",376 km,0 km,"10,815,857","4,975,294","4,034,315","97,343","89,000","189,000","30,000","6,730","28,750","13,200","96,114","Stock: 80			
Readiness: 40*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 8 (10.0%)

Readiness: 4*","Stock: 11 (13.8%)

Readiness: 6*","Stock: 17 (21.3%)

Readiness: 9*","Stock: 1 (1.3%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 49 (61.3%)

Readiness: 25*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 6				
Readiness: 3*","Stock: 930            	
Readiness: 465*","Stock: 0				
Readiness: 0*","Stock: 14				
Readiness: 7*","Stock: 0				
Readiness: 0*",0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0 bbl,"146,000 bbl","-146,000 bbl",0 bbl,0 cu.m,"2,440,000,000 cu.m","-2,440,000,000 cu.m",0 cu.m,0 mt,"2,356,000 mt","-2,356,000 mt",0 mt,85.0%,"5,413,000",40,17,32,"19,705 km",496 km,2.5853
Nicaragua,"$52,989,000,000 USD","$6,105,000,000 USD","$1,311,600,000 USD","$6,753,000,000 USD","130,370 km",910 km,"1,253 km","2,220 km","6,676,948","3,271,705","2,777,610","146,893","45,000",0,"5,500",815,"42,935","1,250","145,039","Stock: 17			
Readiness: 9*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 5 (29.4%)

Readiness: 3*","Stock: 1 (5.9%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 12 (70.6%)

Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 186				
Readiness: 102*","Stock: 6,344            	
Readiness: 3,489*","Stock: 0				
Readiness: 0*","Stock: 347				
Readiness: 191*","Stock: 151				
Readiness: 83*",0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,200 bbl,"28,000 bbl","-27,800 bbl",0 bbl,0 cu.m,0 cu.m,0 cu.m,0 cu.m,0 mt,0 mt,0 mt,0 mt,58.0%,"3,225,000",5,5,39,"24,033 km",0 km,2.5894
Republic of the Congo,"$39,147,000,000 USD","$715,391,000 USD","$933,360,000 USD","$6,360,000,000 USD","342,000 km",169 km,"5,008 km","1,120 km","6,097,665","2,256,136","1,353,682","115,856","10,000",0,"2,500",675,"9,325",0,"114,393","Stock: 14			
Readiness: 6*","Stock: 2 (14.3%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 4 (28.6%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 8 (57.1%)

Readiness: 4*","Stock: 1 (7.1%)

Readiness: 0*","Stock: 61				
Readiness: 31*","Stock: 804            	
Readiness: 402*","Stock: 3				
Readiness: 2*","Stock: 38				
Readiness: 19*","Stock: 30				
Readiness: 15*",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"267,000 bbl","13,000 bbl","+254,000 bbl","2,885,000,000 bbl","423,000,000 cu.m","423,000,000 cu.m",0 cu.m,"283,990,000,000 cu.m",0 mt,0 mt,0 mt,0 mt,38.0%,"2,563,000",11,5,56,"23,324 km",510 km,2.6259
Lebanon,"$65,415,000,000 USD","$33,301,000,000 USD","$800,000,000 USD","$41,619,000,000 USD","10,400 km",225 km,484 km,0 km,"5,364,482","2,092,148","1,775,644","69,738","80,000","15,000","65,000","2,500","99,000","1,500","68,858","Stock: 80			
Readiness: 40*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 9 (11.3%)

Readiness: 5*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 9 (11.3%)

Readiness: 5*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 68 (85.0%)

Readiness: 34*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 334				
Readiness: 184*","Stock: 6,912            	
Readiness: 3,802*","Stock: 12				
Readiness: 7*","Stock: 350				
Readiness: 193*","Stock: 11				
Readiness: 6*",0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0 bbl,"115,000 bbl","-115,000 bbl",0 bbl,0 cu.m,0 cu.m,0 cu.m,0 cu.m,0 mt,"166,000 mt","-166,000 mt",0 mt,84.0%,"1,939,000",51,5,8,"21,705 km",401 km,2.6521
Eritrea,"$2,534,000,000 USD","$191,694,000 USD","$219,000,000 USD","$461,376,000 USD","117,600 km","2,234 km","1,840 km",0 km,"6,343,956","2,220,385","1,598,677","76,127","350,000","680,000",0,250,"275,000","1,100","75,166","Stock: 20			
Readiness: 7*","Stock: 1 (5.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 5 (25.0%)

Readiness: 2*","Stock: 1 (5.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 13 (65.0%)

Readiness: 5*","Stock: 6 (30.0%)

Readiness: 2*","Stock: 148				
Readiness: 67*","Stock: 1,040            	
Readiness: 468*","Stock: 45				
Readiness: 20*","Stock: 89				
Readiness: 40*","Stock: 44				
Readiness: 20*",0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0 bbl,"5,000 bbl","-5,000 bbl",0 bbl,0 cu.m,0 cu.m,0 cu.m,0 cu.m,0 mt,0 mt,0 mt,0 mt,20.0%,"1,710,000",9,2,11,"16,000 km",306 km,2.6841
Niger,"$47,921,000,000 USD","$1,442,772,000 USD","$488,400,000 USD","$3,793,000,000 USD","1,267,000 km",LANDLOCKED,"5,834 km",300 km,"26,342,784","7,902,835","5,294,900","447,827","25,000",0,"5,000","1,250","10,000",0,"442,173","Stock: 26			
Readiness: 13*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (7.7%)

Readiness: 1*","Stock: 7 (26.9%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (7.7%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 13 (50.0%)

Readiness: 7*","Stock: 2 (7.7%)

Readiness: 1*","Stock: 0				
Readiness: 0*","Stock: 1,550            	
Readiness: 775*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",,,,,,,,,"13,000 bbl","18,000 bbl","-5,000 bbl","150,000,000 bbl","29,509,000 cu.m","29,858,000 cu.m","-349,000 cu.m",0 cu.m,"427,000 mt","426,000 mt","+1,000 mt","90,000,000 mt",23.0%,"10,486,000",0,0,26,"18,949 km",0 km,2.6867
Afghanistan,"$82,238,000,000 USD","$8,852,092,000 USD","$145,000,000 USD","$1,929,750,000 USD","652,230 km",LANDLOCKED,"5,987 km","1,200 km","40,121,552","15,647,405","8,826,741","842,553","75,000",0,"90,000",0,"165,000",0,"831,916","Stock: 5			
Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (40.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 3 (60.0%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 3,902            	
Readiness: 1,366*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",,,,,,,,,0 bbl,"58,000 bbl","-58,000 bbl",0 bbl,"80,200,000 cu.m","80,200,000 cu.m",0 cu.m,"49,554,000,000 cu.m","767,000 mt","503,000 mt","+264,000 mt","66,000,000 mt",18.0%,"9,133,000",0,0,68,"34,903 km",0 km,2.7342
Namibia,"$31,154,000,000 USD","$3,356,000,000 USD","$450,498,000 USD","$9,680,000,000 USD","824,292 km","1,572 km","4,220 km",0 km,"2,803,660","616,805","400,923","30,840","17,567",0,"5,000","1,175","8,500","3,000","30,451","Stock: 36			
Readiness: 16*","Stock: 11 (30.6%)

Readiness: 5*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 5 (13.9%)

Readiness: 2*","Stock: 13 (36.1%)

Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 7 (19.4%)

Readiness: 3*","Stock: 2 (5.6%)

Readiness: 1*","Stock: 7				
Readiness: 4*","Stock: 2,402            	
Readiness: 1,201*","Stock: 0				
Readiness: 0*","Stock: 50				
Readiness: 25*","Stock: 55				
Readiness: 28*",0.0,0.0,0.0,0.0,2.0,0.0,15.0,0.0,0 bbl,"23,000 bbl","-23,000 bbl",0 bbl,0 cu.m,0 cu.m,0 cu.m,"62,297,000,000 cu.m",0 mt,"24,000 mt","-24,000 mt","350,000,000 mt",64.0%,"1,131,000",15,2,259,"48,875 km","2,628 km",2.7414
Mauritania,"$33,069,000,000 USD","$2,039,000,000 USD","$270,625,000 USD","$3,072,000,000 USD","1,030,700 km",754 km,"5,002 km","1,086 km","4,328,040","1,687,936","1,181,555","82,233","31,540","66,000","5,000","1,105","102,540","1,500","81,195","Stock: 23			
Readiness: 10*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 4 (17.4%)

Readiness: 2*","Stock: 7 (30.4%)

Readiness: 3*","Stock: 6 (26.1%)

Readiness: 3*","Stock: 2 (8.7%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 4 (17.4%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 51				
Readiness: 26*","Stock: 5,024            	
Readiness: 2,512*","Stock: 0				
Readiness: 0*","Stock: 75				
Readiness: 38*","Stock: 0				
Readiness: 0*",0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0 bbl,"32,000 bbl","-32,000 bbl","20,000,000 bbl",0 cu.m,0 cu.m,0 cu.m,"28,317,000,000 cu.m",0 mt,0 mt,0 mt,0 mt,37.0%,"1,210,000",11,2,25,"12,253 km",728 km,2.7919
Nepal,"$149,643,000,000 USD","$12,456,000,000 USD","$431,355,326 USD","$5,719,000,000 USD","147,181 km",LANDLOCKED,"3,159 km",0 km,"31,122,387","15,249,970","11,733,140","778,060","98,500","82,000","15,000","1,000","97,500",0,"768,237","Stock: 17			
Readiness: 9*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 7 (41.2%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 10 (58.8%)

Readiness: 5*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 1,108            	
Readiness: 609*","Stock: 0				
Readiness: 0*","Stock: 14				
Readiness: 8*","Stock: 0				
Readiness: 0*",,,,,,,,,0 bbl,"71,000 bbl","-71,000 bbl",0 bbl,0 cu.m,0 cu.m,0 cu.m,0 cu.m,"9,000 mt","1,091,000 mt","-1,082,000 mt","8,000,000 mt",56.0%,"8,435,000",0,0,51,"64,500 km",59 km,2.8037
Laos,"$66,905,000,000 USD","$1,770,000,000 USD","$355,600,000 USD","$9,619,000,000 USD","236,800 km",LANDLOCKED,"5,274 km","4,600 km","7,953,556","3,499,565","2,521,277","159,071","100,000","30,000","120,000",500,"130,000","2,000","157,063","Stock: 29			
Readiness: 16*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (6.9%)

Readiness: 1*","Stock: 7 (24.1%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 20 (69.0%)

Readiness: 11*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 160				
Readiness: 104*","Stock: 7,725            	
Readiness: 5,021*","Stock: 50				
Readiness: 33*","Stock: 97				
Readiness: 63*","Stock: 64				
Readiness: 42*",,,,,,,,,0 bbl,"25,000 bbl","-25,000 bbl",0 bbl,0 cu.m,0 cu.m,0 cu.m,0 cu.m,"16,629,000 mt","15,944,000 mt","+685,000 mt","62,000,000 mt",64.0%,"3,585,000",1,0,20,"59,647 km",422 km,2.8672
Senegal,"$83,183,000,000 USD","$889,295,000 USD","$777,800,000 USD","$14,985,000,000 USD","196,722 km",531 km,"2,684 km","1,000 km","18,847,519","7,162,057","4,089,912","395,798","17,000",0,0,"1,000","15,460",500,"390,801","Stock: 39			
Readiness: 18*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 5 (12.8%)

Readiness: 2*","Stock: 22 (56.4%)

Readiness: 10*","Stock: 1 (2.6%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 19 (48.7%)

Readiness: 9*","Stock: 5 (12.8%)

Readiness: 2*","Stock: 0				
Readiness: 0*","Stock: 1,860            	
Readiness: 930*","Stock: 0				
Readiness: 0*","Stock: 20				
Readiness: 10*","Stock: 6				
Readiness: 3*",0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,"9,000 bbl","65,000 bbl","-56,000 bbl",0 bbl,"54,646,000 cu.m","54,498,000 cu.m","+148,000 cu.m",0 cu.m,0 mt,"138,000 mt","-138,000 mt",0 mt,61.0%,"5,763,000",36,6,20,"16,665 km",906 km,2.8925
Burkina Faso,"$60,001,000,000 USD","$47,138,000 USD","$4,590,000,000 USD","$3,565,000,000 USD","274,200 km",LANDLOCKED,"3,611 km",0 km,"23,042,199","8,525,614","6,060,098","368,675","7,500",0,"4,500",300,"7,000",0,"364,021","Stock: 26			
Readiness: 8*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 3 (11.5%)

Readiness: 1*","Stock: 2 (7.7%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (7.7%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 19 (73.1%)

Readiness: 6*","Stock: 5 (19.2%)

Readiness: 2*","Stock: 0				
Readiness: 0*","Stock: 876            	
Readiness: 350*","Stock: 0				
Readiness: 0*","Stock: 8				
Readiness: 3*","Stock: 9				
Readiness: 4*",,,,,,,,,0 bbl,"37,000 bbl","-37,000 bbl",0 bbl,0 cu.m,0 cu.m,0 cu.m,0 cu.m,0 mt,0 mt,0 mt,0 mt,17.0%,"6,461,000",0,0,49,"15,304 km",622 km,2.9213
Montenegro,"$17,375,000,000 USD","$1,741,000,000 USD","$204,000,000 USD","$3,643,000,000 USD","13,812 km",294 km,680 km,0 km,"599,849","143,964","85,179","3,599","2,350",0,"5,500",480,"1,500",550,"3,554","Stock: 10			
Readiness: 5*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 10 (100.0%)

Readiness: 5*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 946            	
Readiness: 520*","Stock: 0				
Readiness: 0*","Stock: 12				
Readiness: 7*","Stock: 12				
Readiness: 7*",0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0 bbl,"9,000 bbl","-9,000 bbl",0 bbl,0 cu.m,0 cu.m,0 cu.m,0 cu.m,"1,862,000 mt","1,658,000 mt","+204,000 mt","337,000,000 mt",90.0%,"245,300",18,4,5,"7,762 km",250 km,2.9782
El Salvador,"$73,961,000,000 USD","$3,705,000,000 USD","$1,037,200,000 USD","$12,668,000,000 USD","21,041 km",307 km,590 km,422 km,"6,628,702","3,181,777","2,512,278","145,831","25,000",0,"15,000","2,000","20,500","2,000","143,990","Stock: 51			
Readiness: 28*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 15 (29.4%)

Readiness: 8*","Stock: 3 (5.9%)

Readiness: 2*","Stock: 10 (19.6%)

Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 28 (54.9%)

Readiness: 15*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 2,144            	
Readiness: 1,394*","Stock: 0				
Readiness: 0*","Stock: 76				
Readiness: 49*","Stock: 0				
Readiness: 0*",0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3 bbl,"56,000 bbl","-55,997 bbl",0 bbl,0 cu.m,"226,472 cu.m","-226,472 cu.m",0 cu.m,0 mt,500 mt,-500 mt,0 mt,68.0%,"2,890,000",5,3,27,"9,012 km",13 km,2.9973
Botswana,"$45,553,000,000 USD","$3,456,000,000 USD","$581,000,000 USD","$1,761,000,000 USD","581,730 km",LANDLOCKED,"4,347 km",0 km,"2,450,668","1,029,281","617,568","24,507","12,000",0,0,500,"12,000",0,"24,198","Stock: 45			
Readiness: 18*","Stock: 10 (22.2%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 9 (20.0%)

Readiness: 4*","Stock: 10 (22.2%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 16 (35.6%)

Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 45				
Readiness: 20*","Stock: 1,224            	
Readiness: 551*","Stock: 12				
Readiness: 5*","Stock: 36				
Readiness: 16*","Stock: 20				
Readiness: 9*",,,,,,,,,0 bbl,"22,000 bbl","-22,000 bbl",0 bbl,0 cu.m,0 cu.m,0 cu.m,0 cu.m,"2,242,000 mt","1,351,000 mt","+891,000 mt","1,660,000,000 mt",81.0%,"1,173,000",0,0,122,"31,747 km",888 km,2.9993
Madagascar,"$52,968,000,000 USD","$2,785,000,000 USD","$147,630,000 USD","$3,548,000,000 USD","587,040 km","4,828 km",NONE - ISLAND,600 km,"29,452,714","11,192,031","7,952,233","559,602","13,500",0,"8,100",300,"21,600",500,"552,537","Stock: 6			
Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (16.7%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 5 (83.3%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 12				
Readiness: 7*","Stock: 316            	
Readiness: 174*","Stock: 0				
Readiness: 0*","Stock: 17				
Readiness: 9*","Stock: 0				
Readiness: 0*",0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0 bbl,"20,000 bbl","-20,000 bbl",0 bbl,0 cu.m,0 cu.m,0 cu.m,0 cu.m,0 mt,"472,000 mt","-472,000 mt","150,000,000 mt",20.0%,"16,519,000",29,13,93,"31,640 km",836 km,3.0381
Gabon,"$48,045,000,000 USD","$1,447,000,000 USD","$340,950,000 USD","$6,442,000,000 USD","267,667 km",885 km,"3,261 km","1,600 km","2,455,105","932,940","532,758","46,647","5,000",0,"2,500",900,"4,500",400,"46,058","Stock: 25			
Readiness: 11*","Stock: 6 (24.0%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 3 (12.0%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 16 (64.0%)

Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 424            	
Readiness: 233*","Stock: 0				
Readiness: 0*","Stock: 4				
Readiness: 2*","Stock: 28				
Readiness: 15*",0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,"204,000 bbl","14,000 bbl","+190,000 bbl","2,000,000,000 bbl","463,000,000 cu.m","463,000,000 cu.m",0 cu.m,"25,995,000,000 cu.m",0 mt,0 mt,0 mt,0 mt,72.0%,"824,400",87,9,42,"14,300 km",649 km,3.0432
Bosnia and Herzegovina,"$64,641,000,000 USD","$9,419,000,000 USD","$289,920,000 USD","$5,359,000,000 USD","51,197 km",20 km,"1,543 km",990 km,"3,798,671","2,355,176","1,956,316","49,383","18,000","8,000",0,"2,100","26,000",0,"48,760","Stock: 15			
Readiness: 10*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 15 (100.0%)

Readiness: 10*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 45				
Readiness: 29*","Stock: 892            	
Readiness: 580*","Stock: 0				
Readiness: 0*","Stock: 300				
Readiness: 195*","Stock: 24				
Readiness: 16*",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 bbl,"34,000 bbl","-34,000 bbl",0 bbl,0 cu.m,"225,824,000 cu.m","-225,824,000 cu.m",0 cu.m,"12,311,000 mt","12,304,000 mt","+7,000 mt","2,264,000,000 mt",83.0%,"1,356,000",0,1,20,"8,619 km",965 km,3.1291
Iceland,"$26,561,000,000 USD","$6,403,000,000 USD","$500,000,000 USD","$24,200,000,000 USD","100,250 km","4,970 km",NONE - ISLAND,0 km,"364,036","83,728","50,237","1,820",0,0,0,0,0,0,"1,797","Stock: 0			
Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 350            	
Readiness: 350*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 bbl,"19,000 bbl","-19,000 bbl",0 bbl,0 cu.m,0 cu.m,0 cu.m,0 cu.m,0 mt,"137,000 mt","-137,000 mt",0 mt,100.0%,"248,400",39,43,82,"12,905 km",0 km,3.4013
